"Value Research Online"
"Date: 27-Dec-2015 16:22"
"Company","Sector","Industry","ROE (%)","Operating Margin (%)","Free Cash Flow (Cr)","Debt Equity Ratio","Long-term Debt (Cr)","Networth (Cr)"
"Pentamedia Graphics Ltd.","Technology","Computer Software","-63.09","77.49","-97.18","0","0.17","162.37"
"Persistent Systems Ltd.","Technology","Computer Software","22.19","25.6","261.18","0","2.47","1405.53"
"PFL Infotech Ltd.","Technology","Computer Software","2.46","-","0.19","0.03","0.25","7.87"
"Polaris Consulting & Services Ltd.","Technology","Computer Software","13.94","14.09","28.38","0","0","850.82"
"Powersoft Global Solutions Ltd.","Technology","Computer Software","11.19","17.5","0","0","0.01","50.35"
"Prabhav Industries Ltd.","Technology","Computer Software","-4.34","-4.43","-16.32","0.12","16.09","136.98"
"Prithvi Information Solutions Ltd.","Technology","Computer Software","4.32","2.34","-40.6","1.19","538.31","466.12"
"Prithvi Softech Ltd.","Technology","Computer Software","13.46","47.74","4.89","0","0","18.49"
"Priya Ltd.","Technology","Computer Hardware","2.05","2.65","4.73","0.62","20.28","32.59"
"PVP Ventures Ltd.","Technology","Computer Software","-8.18","4.09","48.44","0.37","142.74","386.56"
"Quest Softech (India) Ltd.","Technology","Computer Software","1.66","72.68","0.17","0.13","0.62","4.86"
"Quintegra Solutions Ltd.","Technology","Computer Software","0","-32.71","1.14","-1.17","23.09","-19.69"
"R Systems International Ltd","Technology","Computer Software","35.12","15.35","88.31","0","0.93","213.11"
"Ramco Systems Ltd.","Technology","Computer Software","7.13","20.1","-56.68","1.2","296.92","252.8"
"RAMINFO LTD.","Technology","Computer Software","17.17","12.34","0.48","0.08","0.62","7.34"
"Ranklin Solutions Ltd","Technology","Computer Software","26.39","24.11","-15.04","0.35","9.09","29.77"
"Redington India Ltd.","Technology","Computer Hardware","18.67","2.47","40.4","0.79","1866.62","2374.17"
"Religare Technologies Ltd.","Technology","Computer Software","0","48.25","-114.3","-1.29","507.52","-379.47"
"Response Informatics Ltd.","Technology","Computer Software","0.22","3","-0.3","0.05","0.28","6.25"
"Rolta India Ltd.","Technology","Computer Hardware","20.92","35.94","-401.33","4.31","5097.29","2301.43"
"RS Software (India) Ltd.","Technology","Computer Software","33.71","27.89","0","0","0","223.96"
"Saksoft Limited","Technology","Computer Software","16.19","12.19","15.51","0.39","43.35","110.69"
"Sankhya Infotech Ltd.","Technology","Computer Software","2.18","8.32","-3.26","0.5","33.64","67.88"
"Sanmit Infra Ltd.","Technology","Computer Software","-134.79","-","-0.04","0.09","0.11","1.28"
"Sapan Chemicals Ltd.","Technology","Computer Software","-93.13","-1138.89","-5.52","0","0","2.92"
"Saven Technologies Ltd.","Technology","Computer Software","34.49","103.54","8.21","0","0","20.49"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","-4.82","5.6","2.54","0.95","15.8","16.71"
"Secure Earth Technologies Ltd.","Technology","Computer Software","-7.74","-0.75","-3.91","0.98","49.7","59.3"
"Sequel E-Routers Ltd.","Technology","Computer Software","1.1","2.96","-0.03","0.01","0","0.5"
"Seshachal Technologies Ltd","Technology","Computer Software","3.77","41.42","0.1","0.18","0.12","0.67"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","0.02","36.45","-0.15","0","0","31.04"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","3.27","18.43","42.47","0","0","412.04"
"Sofcom Systems Ltd.","Technology","Computer Software","0.99","3.84","-1.26","0.63","2.87","4.55"
"Softbpo Global Services Ltd.","Technology","Computer Software","0","-","-0.09","-3.87","3.03","-0.78"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","-12.14","-12.16","-0.22","1.58","6.35","4.02"
"Softsol India Ltd.","Technology","Computer Software","0.92","11.09","-0.89","0","0","192.11"
"Software Technology Group International Ltd.","Technology","Computer Software","-16.17","-","0.01","3.46","25.25","7.29"
"Sonata Software Ltd.","Technology","Computer Software","33.2","11.15","61.66","0.06","24.42","428.43"
"Spanco Ltd.","Technology","Computer Software","-86.69","-13.78","-841.62","5.9","1669.44","353.03"
"Sparc Systems Ltd.","Technology","Computer Software","-17.75","-1198.43","-0.24","0","0","3.52"
"Spectacle Infotek Ltd.","Technology","Computer Software","-1.25","-","-0.06","0.03","0.22","6.58"
"SQL Star International Ltd.","Technology","Computer Software","0","-29.53","-11.77","-1.16","40.35","-34.78"
"SQS India BFSI Ltd.","Technology","Computer Software","20.63","18.15","27.49","0.09","9.63","101.8"
"Sterling International Enterprises Ltd.","Technology","Computer Software","0.42","36.21","-299.99","0.13","276.66","2153.14"
"Stocknet International Ltd.","Technology","Computer Software","-0.13","-0.66","0","0","0","8.96"
"Subex Ltd.","Technology","Computer Software","7.88","23.84","2.27","3.48","724.63","209.04"
"Svam Softwares Ltd.","Technology","Computer Software","0.12","1666.52","4.05","0.01","0.14","19.53"
"T Spiritual World Ltd.","Technology","Computer Software","0.48","36.89","-0.03","0","0","25.97"
"Taksheel Solutions Ltd.","Technology","Computer Software","9.44","11.52","-98.12","0.04","8.51","195.69"
"Tata Consultancy Services Ltd.","Technology","Computer Software","40.19","29.28","19673.96","0.01","357.7","50634.76"
"Tata Elxsi Ltd.","Technology","Computer Software","39.3","21.35","101.86","0","0","283.43"
"Tech Mahindra Ltd.","Technology","Computer Software","25.57","18.8","1289.49","0.06","700.1","12248.9"
"Teledata Marine Solutions Ltd.","Technology","Computer Software","-1.75","4.64","0","0.46","205.41","466.02"
"Tera Software Ltd.","Technology","Computer Software","4.7","20.72","-1.92","0.6","43.09","71.22"
"Total Exports Ltd.","Technology","Computer Hardware","-14.98","-","-2.72","0.17","0.59","3.5"
"Trigyn Technologies Ltd.","Technology","Computer Software","10.43","8.09","-2.82","0","0","247.28"
"Tutis Technologies Ltd.","Technology","Computer Software","-148.29","-206.46","-13.6","0.64","5.1","8.06"
"Twinstar Industries Ltd.","Technology","Computer Software","2.5","2.62","0.65","0.24","5.71","23.38"
"Unisys Software & Holding Inds. Ltd.","Technology","Computer Software","0.63","0.57","-178.74","0.27","15.75","59.09"
"United Interactive Ltd.","Technology","Computer Software","41","27.11","4.42","0.01","0.2","15.91"
"USG Tech Solutions Ltd.","Technology","Computer Software","0.04","35.79","0.94","0.18","7.73","42.42"
"Usha Martin Education & Solutions Ltd.","Technology","Computer Software","-7.11","-27.58","-0.41","0.07","1.43","19.86"
"Vaishnavi Gold Ltd.","Technology","Computer Software","13.71","5.34","0","1.37","22.32","16.23"
