"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","Price","PriceDate","52-Week High","52-Week Low","P/E","P/B","Dividend Yield (%)","Enterprise Value / Ebidta","Price / Sales","Price / Cash Flow"
"Glodyne Technoserve Ltd","Technology","Computer Software","0.9","Nov 30, 2015","3.93","0.78","0","-0.01","0","-1.64","0.35","0.15"
"Goldstone Technologies Ltd.","Technology","Computer Software","4.55","Dec 24, 2015","8.5","3.6","0","0.13","0","1.49","0.14","0.98"
"Green Field Agri Ventures Ltd.","Technology","Computer Software","47.9","Dec 17, 2015","51.8","8.69","120.52","15.21","0","61.08","12.5","-"
"GSS Infotech Ltd.","Technology","Computer Software","39.45","Dec 24, 2015","44.3","11.9","0","0.38","0","6.13","2.01","20.1"
"HCL Infosystems Ltd.","Technology","Computer Hardware","61.15","Dec 24, 2015","66.85","30.7","0","1.13","0","-5905.37","0.23","-3.69"
"HCL Technologies Ltd.","Technology","Computer Software","860.3","Dec 24, 2015","1058.45","746.35","16.82","4.82","3.49","11.63","3.18","21.89"
"Helios & Matheson Information Technology Ltd.","Technology","Computer Software","10.52","Dec 21, 2015","88.75","8.55","0.51","0.07","47.53","1.5","0.03","0.49"
"Hexaware Technologies Ltd.","Technology","Computer Software","242.05","Dec 24, 2015","335.75","192.65","19.14","4.92","3.91","12.53","2.42","17.68"
"Hindustan Bio Sciences Ltd.","Technology","Computer Software","3.97","Dec 24, 2015","3.97","1.22","0","0.58","0","-29.86","2.88","-14.97"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","0.33","Dec 24, 2015","0.33","0.2","0","0.13","0","117.37","1.93","24.25"
"ICSA (India) Ltd.","Technology","Computer Software","3.3","Dec 24, 2015","5.2","2.1","0","-0.01","0","-3.56","0.81","-20.94"
"IEC Education Ltd.","Technology","Computer Software","4.04","Dec 24, 2015","5.8","2.6","116.32","0.18","0","12.58","3.03","-4.04"
"IKF Technologies Ltd.","Technology","Computer Software","0.84","Dec 24, 2015","1.14","0.5","25.83","0.25","0","-4.68","0.66","5.3"
"Indian Infotech & Software Ltd.","Technology","Computer Software","0.24","Dec 24, 2015","1.06","0.13","19.2","0.1","0","1915.58","1.55","-0.44"
"Indo-City Infotech Ltd.","Technology","Computer Software","3.4","Dec 24, 2015","5","1.64","884","0.26","0","11.19","78.58","-6.85"
"Indus Networks Ltd.","Technology","Computer Software","1.91","Jul 10, 2012","-","-","0.6","0.07","0","-","-","-"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","216.95","Dec 24, 2015","322.7","122.2","7.52","1","0","3.68","0.45","8.02"
"Info-Drive Software Ltd.","Technology","Computer Software","0.26","Dec 24, 2015","1.04","0.13","6.26","0.13","0","44.04","0.98","-0.37"
"Informed Technologies India Ltd.","Technology","Computer Software","25.2","Dec 24, 2015","37.9","19.95","12.66","0.75","3.97","3.51","3.72","-31.26"
"Infosys Ltd.","Technology","Computer Software","1096.35","Dec 24, 2015","1219.8","932.65","19.7","4.39","2.71","12.35","4.4","30.15"
"Infronics Systems Ltd.","Technology","Computer Software","9.74","Oct 26, 2015","10.3","8.56","0","10.45","0","13.58","1.03","-0.82"
"Innovation Software Exports Ltd.","Technology","Computer Software","0.57","Dec 24, 2015","1.47","0.53","0","0.19","0","-3.04","-","-"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","40.95","Dec 22, 2015","41.65","31.25","0","4.09","0","-2701.98","8.37","5.94"
"Integrated Hitech Ltd.","Technology","Computer Software","4.83","Dec 16, 2015","5.34","2.73","302.01","0.45","0","100.02","46.02","349.55"
"Intellect Design Arena Ltd.","Technology","Computer Software","277.1","Dec 24, 2015","302.45","76.55","0","4.64","0","-174.05","5.53","-158.9"
"Intellvisions Software Ltd.","Technology","Computer Software","23.5","Mar 23, 2015","35.15","23","10.15","0.69","2.13","2.62","0.7","5.88"
"Intense Technologies Ltd.","Technology","Computer Software","34.6","Dec 24, 2015","84.85","30.4","0","1.48","0","-13.15","1.99","-4.72"
"Interworld Digital Ltd","Technology","Computer Software","0.12","Dec 24, 2015","1.55","0.12","64.5","0.05","0","4.32","0.36","1.75"
"Intrasoft Technologies Ltd.","Technology","Computer Software","448.45","Dec 24, 2015","600","55.8","93.74","8.04","0.44","65.5","1.33","171.29"
"IZMO Ltd.","Technology","Computer Software","74.45","Dec 24, 2015","87","18.3","17.61","0.5","0","8.02","2.59","-615.52"
"Jetking Infotrain Ltd.","Technology","Computer Hardware","52.35","Dec 24, 2015","70.8","39","30.14","0.71","1.91","7.03","1.23","6.68"
"Jointeca Education Solutions Ltd.","Technology","Computer Software","16.6","Dec 10, 2015","17.9","16","0","1.11","0","-","-","-"
"Just Dial Ltd.","Technology","Computer Software","866.45","Dec 24, 2015","1631","740.5","38.41","7.95","0.23","21.9","9.39","33.13"
"Kaashyap Technologies Ltd","Technology","Computer Software","0.17","Jul 10, 2012","-","-","74.49","0.09","0","-","-","-"
"Kanika Infotech Ltd.","Technology","Computer Software","0.2","Dec 24, 2015","0.2","0.1","0","0.1","0","-14.93","0.7","-30.16"
