"Value Research Online"
"Date: 27-Dec-2015 16:23"
"Company","Sector","Industry","1-Year Revenue Growth","1-Year EPS Growth","1-Year Book Value Growth","3-Year Revenue Griowth","3-Year EPS Growth","3 Year Book Value Growth","5 Year Revenue Growth","5-Year EPS Growth","5 Year Book Value Growth"
"Hit Kit Global Solutions Ltd.","Technology","Computer Software","-49.18","5.15","-0.35","-36.87","-194.81","-9.48","-","-","-"
"ICSA (India) Ltd.","Technology","Computer Software","-","-","-","-70.48","-58.15","-220.15","-54.72","-222.57","-210.65"
"IEC Education Ltd.","Technology","Computer Software","-2.85","-167.48","-0.41","-14.55","-152.45","0.31","-17.44","-155.97","1.45"
"IKF Technologies Ltd.","Technology","Computer Software","-17.37","-57.34","-2.74","-23.36","-51.91","0.37","-16.66","-39.31","6.55"
"Indian Infotech & Software Ltd.","Technology","Computer Software","41.24","-","-","860.18","-","-","194.44","-","-"
"Indo-City Infotech Ltd.","Technology","Computer Software","3.45","-89.07","0.05","-12.42","-55.83","0.35","-50.48","98.09","0.46"
"Indus Networks Ltd.","Technology","Computer Software","125.42","101.12","0.09","75.94","-61.53","-1.11","44.46","-53.96","0.7"
"Infinite Computer Solutions (India) Ltd.","Technology","Computer Software","0.27","26.6","17.86","18.06","-0.29","18.12","21.2","8.04","21.52"
"Info-Drive Software Ltd.","Technology","Computer Software","38.58","3521.43","-9.58","-8.79","4.99","-2.31","-16.31","-19.82","-1.26"
"Informed Technologies India Ltd.","Technology","Computer Software","-3.65","3.45","3.91","8.77","-15.25","5.71","3.13","-15.13","9.11"
"Infosys Ltd.","Technology","Computer Software","6.36","16.1","13.93","16.49","14.09","17.43","18.58","14.75","17.09"
"Infronics Systems Ltd.","Technology","Computer Software","-13.23","-1087.42","-89.73","-44.6","-289.1","-55.29","-8.91","-229.36","-30.79"
"Innovation Software Exports Ltd.","Technology","Computer Software","-","39.92","-6.13","-","-233.1","-21.21","-","-172.74","-11.96"
"Integra Telecommunication & Software Ltd.","Technology","Computer Software","-54.36","-23.63","-5.38","-54.02","-300.88","-3.15","-","-","-"
"Integrated Hitech Ltd.","Technology","Computer Software","-15.32","112.15","0.09","-","-","-","-15.73","0.21","0.04"
"Intellect Design Arena Ltd.","Technology","Computer Software","-","-","941.07","-","-","-","-","-","-"
