"Value Research Online"
"Date: 27-Dec-2015 16:21"
"Company","Sector","Industry","Price","PriceDate","1-Day Chg. (%)","52-Week High","52-Week Low","P/E","P/B","Enterprise Value (Cr)","Market Cap (Cr)"
"Scanpoint Geomatics Ltd.","Technology","Computer Hardware","27.3","Dec 24, 2015","-1.8","42.3","15.1","0","4.75","88.71","73.45"
"Secure Earth Technologies Ltd.","Technology","Computer Software","2.01","Jun 22, 2015","-1.95","3.18","2.01","0","0.23","56.2","14.49"
"Sequel E-Routers Ltd.","Technology","Computer Software","18.1","Dec 24, 2015","4.93","32.95","14.11","112.54","2.02","0.96","1.01"
"Seshachal Technologies Ltd","Technology","Computer Software","2.4","Sep 28, 2015","0","3.03","1.59","53.76","2.56","1.68","1.67"
"Shree Tulsi Online. Com Ltd.","Technology","Computer Software","15.5","Dec 24, 2015","1.31","16","8.11","189.59","1.16","36.15","36.21"
"SmartLink Network Systems Ltd.","Technology","Computer Hardware","100.85","Dec 24, 2015","-1.42","128.65","55","39.36","0.74","-68.6","301.55"
"Sofcom Systems Ltd.","Technology","Computer Software","36.5","Dec 24, 2015","-1.88","80","12.5","229.78","3.7","17.97","15.17"
"Softbpo Global Services Ltd.","Technology","Computer Software","111","Aug 17, 2015","0","111","111","0","-0.55","4.69","1.66"
"Softech Infinium Solutions Ltd.","Technology","Computer Software","2.4","Dec 11, 2015","-2.44","5.83","2.32","5.75","0.24","7.31","0.96"
"Softsol India Ltd.","Technology","Computer Software","60.15","Dec 24, 2015","4.97","65","39.15","62.81","0.56","63.75","101.19"
"Software Technology Group International Ltd.","Technology","Computer Software","1.65","Dec 24, 2015","-2.94","2.85","1.65","0","0.43","28.45","3.25"
"Sonata Software Ltd.","Technology","Computer Software","175.55","Dec 24, 2015","0.31","186","120","12.45","3.71","1603.95","1843.44"
"Spanco Ltd.","Technology","Computer Software","3.12","Mar 30, 2015","-4.88","6.64","3.12","0","-","1647.95","10.25"
"Sparc Systems Ltd.","Technology","Computer Software","3.62","Dec 24, 2015","4.02","8.26","2.51","0","0.52","1.71","1.77"
"Spectacle Infotek Ltd.","Technology","Computer Software","1.25","Dec 24, 2015","4.17","1.25","0.7","0","26.75","6.64","6.43"
"SQL Star International Ltd.","Technology","Computer Software","1.08","Dec 27, 2013","3.85","-","-","0","-0.09","43.03","3.58"
"SQS India BFSI Ltd.","Technology","Computer Software","1071.15","Dec 24, 2015","0.78","1140","505.1","42.14","9.47","1085.44","1144.16"
